# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: topo
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=3.390°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_topo] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
Virgo	θ	[unread]	[unread]	[unread]	[unread]	9	114;14[pred_topo]	18[pred_topo]	32[pred_topo]
Virgo	ι	[unread]	[unread]	[unread]	[unread]	10	115;00[pred_topo]	18[pred_topo]	28[pred_topo]
Virgo	ια	[unread]	[unread]	[unread]	[unread]	11	115;53[pred_topo]	18[pred_topo]	24[pred_topo]
Virgo	ιβ	[unread]	[unread]	[unread]	[unread]	12	116;53[pred_topo]	18[pred_topo]	20[pred_topo]
Virgo	ιγ	[unread]	[unread]	[unread]	[unread]	13	118;15[pred_topo]	18[pred_topo]	16[pred_topo]
Virgo	ιδ	[unread]	[unread]	[unread]	[unread]	14	119;54[pred_topo]	18[pred_topo]	12[pred_topo]
Virgo	ιε	[unread]	[unread]	[unread]	[unread]	15	120;33[pred_topo]	18[pred_topo]	9[pred_topo]
Virgo	ιϛ	[unread]	[unread]	[unread]	[unread]	16	120;43[pred_topo]	18[pred_topo]	23[pred_topo]
Virgo	ιζ	[unread]	[unread]	[unread]	[unread]	17	120;24[pred_topo]	17[pred_topo]	38[pred_topo]
Virgo	ιη	[unread]	[unread]	[unread]	[unread]	18	120;13[pred_topo]	17[pred_topo]	53[pred_topo]
Virgo	ιθ	[unread]	[unread]	[unread]	[unread]	19	120;44[pred_topo]	17[pred_topo]	49[pred_topo]
Virgo	κ	[unread]	[unread]	[unread]	[unread]	20	121;31[pred_topo]	17[pred_topo]	45[pred_topo]
